,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",50496007,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,China,"Anuel AA",32258902,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,Ransom,"Lil Tecca",27574962,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
4,"Goodbyes (Feat. Young Thug)","Post Malone",25050552,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Beautiful People (feat. Khalid)","Ed Sheeran",24612956,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
6,"I Don't Care (with Justin Bieber)","Ed Sheeran",24205692,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
7,"boyfriend (with Social House)","Ariana Grande",23701243,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
8,"How Do You Sleep?","Sam Smith",21364648,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
9,"Old Town Road - Remix","Lil Nas X",20997428,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
10,"bad guy","Billie Eilish",20422755,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
11,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",20067945,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
12,Callaita,"Bad Bunny",19679848,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
13,"Someone You Loved","Lewis Capaldi",19115160,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"No Guidance (feat. Drake)","Chris Brown",16410645,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
15,"Otro Trago - Remix",Sech,16098241,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
16,"Money In The Grave (Drake ft. Rick Ross)",Drake,15867675,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
17,"LA CANCIÓN","J Balvin",15692371,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
18,Lalala,Y2K,15663960,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
19,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",15254844,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
20,"Piece Of Your Heart",MEDUZA,14678142,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
